,city,country,avg_temp,MA -5Years
1843,Riyadh,Saudi Arabia,24.74,
1844,Riyadh,Saudi Arabia,15.45,
1845,Riyadh,Saudi Arabia,20.82,
1846,Riyadh,Saudi Arabia,,
1847,Riyadh,Saudi Arabia,,20.33666667
1848,Riyadh,Saudi Arabia,24.56,20.27666667
1849,Riyadh,Saudi Arabia,24.8,23.39333333
1850,Riyadh,Saudi Arabia,24.34,24.56666667
1851,Riyadh,Saudi Arabia,25.03,24.6825
1852,Riyadh,Saudi Arabia,24.85,24.716
1853,Riyadh,Saudi Arabia,24.93,24.79
1854,Riyadh,Saudi Arabia,24.72,24.774
1855,Riyadh,Saudi Arabia,24.92,24.89
1856,Riyadh,Saudi Arabia,24.57,24.798
1857,Riyadh,Saudi Arabia,24.26,24.68
1858,Riyadh,Saudi Arabia,25.01,24.696
1859,Riyadh,Saudi Arabia,24.95,24.742
1860,Riyadh,Saudi Arabia,24.94,24.746
1861,Riyadh,Saudi Arabia,24.13,24.658
1862,Riyadh,Saudi Arabia,23.77,24.56
1863,Riyadh,Saudi Arabia,24.28,24.414
1864,Riyadh,Saudi Arabia,25.03,24.43
1865,Riyadh,Saudi Arabia,25.23,24.488
1866,Riyadh,Saudi Arabia,24.92,24.646
1867,Riyadh,Saudi Arabia,25.22,24.936
1868,Riyadh,Saudi Arabia,25,25.08
1869,Riyadh,Saudi Arabia,25.3,25.134
1870,Riyadh,Saudi Arabia,25.02,25.092
1871,Riyadh,Saudi Arabia,24.73,25.054
1872,Riyadh,Saudi Arabia,24.87,24.984
1873,Riyadh,Saudi Arabia,25.24,25.032
1874,Riyadh,Saudi Arabia,24.98,24.968
1875,Riyadh,Saudi Arabia,24.43,24.85
1876,Riyadh,Saudi Arabia,24.89,24.882
1877,Riyadh,Saudi Arabia,25.47,25.002
1878,Riyadh,Saudi Arabia,25.51,25.056
1879,Riyadh,Saudi Arabia,25.24,25.108
1880,Riyadh,Saudi Arabia,24.8,25.182
1881,Riyadh,Saudi Arabia,25.63,25.33
1882,Riyadh,Saudi Arabia,24.66,25.168
1883,Riyadh,Saudi Arabia,25.19,25.104
1884,Riyadh,Saudi Arabia,24.8,25.016
1885,Riyadh,Saudi Arabia,24.98,25.052
1886,Riyadh,Saudi Arabia,24.98,24.922
1887,Riyadh,Saudi Arabia,24.81,24.952
1888,Riyadh,Saudi Arabia,25.13,24.94
1889,Riyadh,Saudi Arabia,25.52,25.084
1890,Riyadh,Saudi Arabia,25.07,25.102
1891,Riyadh,Saudi Arabia,25.39,25.184
1892,Riyadh,Saudi Arabia,25.22,25.266
1893,Riyadh,Saudi Arabia,25.19,25.278
1894,Riyadh,Saudi Arabia,24.66,25.106
1895,Riyadh,Saudi Arabia,24.69,25.03
1896,Riyadh,Saudi Arabia,24.88,24.928
1897,Riyadh,Saudi Arabia,24.86,24.856
1898,Riyadh,Saudi Arabia,24.88,24.794
1899,Riyadh,Saudi Arabia,25.12,24.886
1900,Riyadh,Saudi Arabia,25.29,25.006
1901,Riyadh,Saudi Arabia,25.55,25.14
1902,Riyadh,Saudi Arabia,25.25,25.218
1903,Riyadh,Saudi Arabia,24.64,25.17
1904,Riyadh,Saudi Arabia,25.07,25.16
1905,Riyadh,Saudi Arabia,24.87,25.076
1906,Riyadh,Saudi Arabia,24.85,24.936
1907,Riyadh,Saudi Arabia,24.44,24.774
1908,Riyadh,Saudi Arabia,24.95,24.836
1909,Riyadh,Saudi Arabia,25.57,24.936
1910,Riyadh,Saudi Arabia,24.75,24.912
1911,Riyadh,Saudi Arabia,24.24,24.79
1912,Riyadh,Saudi Arabia,24.96,24.894
1913,Riyadh,Saudi Arabia,24.63,24.83
1914,Riyadh,Saudi Arabia,24.94,24.704
1915,Riyadh,Saudi Arabia,25.38,24.83
1916,Riyadh,Saudi Arabia,24.85,24.952
1917,Riyadh,Saudi Arabia,25.03,24.966
1918,Riyadh,Saudi Arabia,24.66,24.972
1919,Riyadh,Saudi Arabia,25.39,25.062
1920,Riyadh,Saudi Arabia,24.94,24.974
1921,Riyadh,Saudi Arabia,24.84,24.972
1922,Riyadh,Saudi Arabia,25.35,25.036
1923,Riyadh,Saudi Arabia,25.1,25.124
1924,Riyadh,Saudi Arabia,25.69,25.184
1925,Riyadh,Saudi Arabia,25,25.196
1926,Riyadh,Saudi Arabia,25.19,25.266
1927,Riyadh,Saudi Arabia,25.29,25.254
1928,Riyadh,Saudi Arabia,25.39,25.312
1929,Riyadh,Saudi Arabia,25.36,25.246
1930,Riyadh,Saudi Arabia,25.39,25.324
1931,Riyadh,Saudi Arabia,25.38,25.362
1932,Riyadh,Saudi Arabia,24.96,25.296
1933,Riyadh,Saudi Arabia,24.67,25.152
1934,Riyadh,Saudi Arabia,24.97,25.074
1935,Riyadh,Saudi Arabia,25.61,25.118
1936,Riyadh,Saudi Arabia,25.15,25.072
1937,Riyadh,Saudi Arabia,25.08,25.096
1938,Riyadh,Saudi Arabia,25.11,25.184
1939,Riyadh,Saudi Arabia,25.16,25.222
1940,Riyadh,Saudi Arabia,25.51,25.202
1941,Riyadh,Saudi Arabia,25.37,25.246
1942,Riyadh,Saudi Arabia,25.49,25.328
1943,Riyadh,Saudi Arabia,24.96,25.298
1944,Riyadh,Saudi Arabia,25.6,25.386
1945,Riyadh,Saudi Arabia,25.3,25.344
1946,Riyadh,Saudi Arabia,25.49,25.368
1947,Riyadh,Saudi Arabia,26,25.47
1948,Riyadh,Saudi Arabia,24.85,25.448
1949,Riyadh,Saudi Arabia,24.82,25.292
1950,Riyadh,Saudi Arabia,24.98,25.228
1951,Riyadh,Saudi Arabia,26.1,25.35
1952,Riyadh,Saudi Arabia,25.72,25.294
